unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
January 2025,1,2400,72.0,4.0,3.2,,,,,,1,2400,72.0,4.0,3.2,jurisdiction_month,Manufacturing,2025-10-21
February 2025,,,,,,,,,,,,,,,,jurisdiction_month,Manufacturing,2025-10-21
March 2025,,,,,,,,,,,,,,,,jurisdiction_month,Manufacturing,2025-10-21
April 2025,,,,,,,,,,,,,,,,jurisdiction_month,Manufacturing,2025-10-21
May 2025,,,,,,,,,,,,,,,,jurisdiction_month,Manufacturing,2025-10-21
June 2025,,,,,,,,,,,,,,,,jurisdiction_month,Manufacturing,2025-10-21
July 2025,,,,,,,,,,,,,,,,jurisdiction_month,Manufacturing,2025-10-21
August 2024,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
September 2024,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
October 2024,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
November 2024,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
December 2024,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
January 2025,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,jurisdiction_month,Wholesale and retail trade,2025-10-21
February 2025,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
March 2025,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
April 2025,1,878,60.0,6.7,3.9,,,,,,1,878,60.0,6.7,3.9,jurisdiction_month,Wholesale and retail trade,2025-10-21
May 2025,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
June 2025,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
July 2025,,,,,,,,,,,,,,,,jurisdiction_month,Wholesale and retail trade,2025-10-21
August 2024,1,652,36.0,4.0,3.3,1,652,36.0,4.0,3.3,,,,,,jurisdiction_month,Transportation,2025-10-21
September 2024,1,550,48.0,5.0,4.2,1,550,48.0,5.0,4.2,,,,,,jurisdiction_month,Transportation,2025-10-21
October 2024,1,600,24.0,3.2,3.1,1,600,24.0,3.2,3.1,,,,,,jurisdiction_month,Transportation,2025-10-21
November 2024,,,,,,,,,,,,,,,,jurisdiction_month,Transportation,2025-10-21
December 2024,3,4394,48.0,4.0,3.1,2,2594,48.0,4.7,3.2,1,1800,48.0,3.0,3.0,jurisdiction_month,Transportation,2025-10-21
January 2025,,,,,,,,,,,,,,,,jurisdiction_month,Transportation,2025-10-21
February 2025,4,5057,44.9,5.5,4.0,4,5057,44.9,5.5,4.0,,,,,,jurisdiction_month,Transportation,2025-10-21
March 2025,1,3400,36.0,3.0,3.2,,,,,,1,3400,36.0,3.0,3.2,jurisdiction_month,Transportation,2025-10-21
April 2025,,,,,,,,,,,,,,,,jurisdiction_month,Transportation,2025-10-21
May 2025,,,,,,,,,,,,,,,,jurisdiction_month,Transportation,2025-10-21
June 2025,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,jurisdiction_month,Transportation,2025-10-21
July 2025,1,2592,47.4,3.0,3.0,,,,,,1,2592,47.4,3.0,3.0,jurisdiction_month,Transportation,2025-10-21
August 2024,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
September 2024,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
October 2024,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
November 2024,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
December 2024,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
January 2025,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
February 2025,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
March 2025,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
April 2025,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
May 2025,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
June 2025,,,,,,,,,,,,,,,,jurisdiction_month,Information and culture,2025-10-21
July 2025,1,2500,60.0,4.0,3.4,1,2500,60.0,4.0,3.4,,,,,,jurisdiction_month,Information and culture,2025-10-21
August 2024,1,2240,36.0,7.7,2.5,,,,,,1,2240,36.0,7.7,2.5,jurisdiction_month,Finance and professional services,2025-10-21
September 2024,2,5750,30.1,3.2,2.9,,,,,,2,5750,30.1,3.2,2.9,jurisdiction_month,Finance and professional services,2025-10-21
October 2024,,,,,,,,,,,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
November 2024,1,1020,48.0,4.8,3.1,1,1020,48.0,4.8,3.1,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
December 2024,1,6295,72.0,0.0,3.6,,,,,,1,6295,72.0,0.0,3.6,jurisdiction_month,Finance and professional services,2025-10-21
January 2025,,,,,,,,,,,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
February 2025,,,,,,,,,,,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
March 2025,,,,,,,,,,,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
April 2025,,,,,,,,,,,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
May 2025,1,1550,36.0,4.2,4.6,,,,,,1,1550,36.0,4.2,4.6,jurisdiction_month,Finance and professional services,2025-10-21
June 2025,,,,,,,,,,,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
July 2025,1,836,36.0,4.0,3.5,1,836,36.0,4.0,3.5,,,,,,jurisdiction_month,Finance and professional services,2025-10-21
August 2024,2,17550,46.9,2.6,3.1,,,,,,2,17550,46.9,2.6,3.1,jurisdiction_month,"Education, health, and social services",2025-10-21
September 2024,1,5000,36.0,3.5,3.0,,,,,,1,5000,36.0,3.5,3.0,jurisdiction_month,"Education, health, and social services",2025-10-21
October 2024,4,36396,47.8,3.0,3.8,,,,,,4,36396,47.8,3.0,3.8,jurisdiction_month,"Education, health, and social services",2025-10-21
November 2024,2,1547,30.2,4.3,3.8,,,,,,2,1547,30.2,4.3,3.8,jurisdiction_month,"Education, health, and social services",2025-10-21
December 2024,4,99443,54.2,5.8,3.6,,,,,,4,99443,54.2,5.8,3.6,jurisdiction_month,"Education, health, and social services",2025-10-21
January 2025,1,587,36.0,3.0,3.0,,,,,,1,587,36.0,3.0,3.0,jurisdiction_month,"Education, health, and social services",2025-10-21
February 2025,3,2430,37.9,2.7,2.6,,,,,,3,2430,37.9,2.7,2.6,jurisdiction_month,"Education, health, and social services",2025-10-21
March 2025,4,10495,51.2,2.6,3.0,,,,,,4,10495,51.2,2.6,3.0,jurisdiction_month,"Education, health, and social services",2025-10-21
April 2025,6,51020,43.6,3.4,3.2,,,,,,6,51020,43.6,3.4,3.2,jurisdiction_month,"Education, health, and social services",2025-10-21
May 2025,2,7024,46.4,2.9,2.9,,,,,,2,7024,46.4,2.9,2.9,jurisdiction_month,"Education, health, and social services",2025-10-21
June 2025,1,834,48.0,3.0,3.0,,,,,,1,834,48.0,3.0,3.0,jurisdiction_month,"Education, health, and social services",2025-10-21
