unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Manufacturing,1,1400,60.0,8.0,4.5,,,,,,1,1400,60.0,8.0,4.5,jurisdiction_industry,December 2024,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,December 2024,2025-10-21
Transportation,3,4394,48.0,4.0,3.1,2,2594,48.0,4.7,3.2,1,1800,48.0,3.0,3.0,jurisdiction_industry,December 2024,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,December 2024,2025-10-21
Finance and professional services,1,6295,72.0,0.0,3.6,,,,,,1,6295,72.0,0.0,3.6,jurisdiction_industry,December 2024,2025-10-21
"Education, health, and social services",4,99443,54.2,5.8,3.6,,,,,,4,99443,54.2,5.8,3.6,jurisdiction_industry,December 2024,2025-10-21
Entertainment and hospitality,1,561,24.0,10.0,6.9,,,,,,1,561,24.0,10.0,6.9,jurisdiction_industry,December 2024,2025-10-21
Public administration,4,12558,35.3,4.5,3.8,2,6410,48.0,4.8,3.2,2,6148,22.2,4.1,4.4,jurisdiction_industry,December 2024,2025-10-21
All industries,7,13702,57.6,5.3,3.3,1,536,36.0,3.0,3.0,6,13166,58.5,5.4,3.3,jurisdiction_industry,January 2025,2025-10-21
Primary industries,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,jurisdiction_industry,January 2025,2025-10-21
Utilities,1,980,36.0,2.8,3.5,,,,,,1,980,36.0,2.8,3.5,jurisdiction_industry,January 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,January 2025,2025-10-21
Manufacturing,1,2400,72.0,4.0,3.2,,,,,,1,2400,72.0,4.0,3.2,jurisdiction_industry,January 2025,2025-10-21
Wholesale and retail trade,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,jurisdiction_industry,January 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,jurisdiction_industry,January 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,January 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,January 2025,2025-10-21
"Education, health, and social services",1,587,36.0,3.0,3.0,,,,,,1,587,36.0,3.0,3.0,jurisdiction_industry,January 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,January 2025,2025-10-21
Public administration,2,4252,43.6,6.5,3.4,,,,,,2,4252,43.6,6.5,3.4,jurisdiction_industry,January 2025,2025-10-21
All industries,8,15157,45.3,4.7,3.6,5,12727,46.7,5.0,3.8,3,2430,37.9,2.7,2.6,jurisdiction_industry,February 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
Transportation,4,5057,44.9,5.5,4.0,4,5057,44.9,5.5,4.0,,,,,,jurisdiction_industry,February 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
"Education, health, and social services",3,2430,37.9,2.7,2.6,,,,,,3,2430,37.9,2.7,2.6,jurisdiction_industry,February 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,February 2025,2025-10-21
Public administration,1,7670,48.0,4.7,3.7,1,7670,48.0,4.7,3.7,,,,,,jurisdiction_industry,February 2025,2025-10-21
All industries,6,22135,47.7,3.1,3.3,,,,,,6,22135,47.7,3.1,3.3,jurisdiction_industry,March 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
Transportation,1,3400,36.0,3.0,3.2,,,,,,1,3400,36.0,3.0,3.2,jurisdiction_industry,March 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
"Education, health, and social services",4,10495,51.2,2.6,3.0,,,,,,4,10495,51.2,2.6,3.0,jurisdiction_industry,March 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,March 2025,2025-10-21
Public administration,1,8240,48.0,3.9,3.7,,,,,,1,8240,48.0,3.9,3.7,jurisdiction_industry,March 2025,2025-10-21
All industries,13,172748,46.9,6.3,4.6,,,,,,13,172748,46.9,6.3,4.6,jurisdiction_industry,April 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,April 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,April 2025,2025-10-21
Construction,4,113531,48.0,7.6,5.3,,,,,,4,113531,48.0,7.6,5.3,jurisdiction_industry,April 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,April 2025,2025-10-21
Wholesale and retail trade,1,878,60.0,6.7,3.9,,,,,,1,878,60.0,6.7,3.9,jurisdiction_industry,April 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,jurisdiction_industry,April 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,April 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,April 2025,2025-10-21
"Education, health, and social services",6,51020,43.6,3.4,3.2,,,,,,6,51020,43.6,3.4,3.2,jurisdiction_industry,April 2025,2025-10-21
Entertainment and hospitality,1,1606,24.0,10.8,10.2,,,,,,1,1606,24.0,10.8,10.2,jurisdiction_industry,April 2025,2025-10-21
Public administration,1,5713,60.0,2.8,2.5,,,,,,1,5713,60.0,2.8,2.5,jurisdiction_industry,April 2025,2025-10-21
All industries,9,25184,45.1,3.1,3.0,,,,,,9,25184,45.1,3.1,3.0,jurisdiction_industry,May 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,May 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,May 2025,2025-10-21
Construction,3,9533,47.9,2.7,2.5,,,,,,3,9533,47.9,2.7,2.5,jurisdiction_industry,May 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,May 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,May 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,jurisdiction_industry,May 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,May 2025,2025-10-21
Finance and professional services,1,1550,36.0,4.2,4.6,,,,,,1,1550,36.0,4.2,4.6,jurisdiction_industry,May 2025,2025-10-21
"Education, health, and social services",2,7024,46.4,2.9,2.9,,,,,,2,7024,46.4,2.9,2.9,jurisdiction_industry,May 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,May 2025,2025-10-21
Public administration,3,7077,42.1,3.5,3.3,,,,,,3,7077,42.1,3.5,3.3,jurisdiction_industry,May 2025,2025-10-21
All industries,4,4657,53.6,3.6,3.4,1,733,48.0,5.0,4.5,3,3924,54.7,3.3,3.2,jurisdiction_industry,June 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,June 2025,2025-10-21
Utilities,1,2300,60.0,3.0,3.5,,,,,,1,2300,60.0,3.0,3.5,jurisdiction_industry,June 2025,2025-10-21
Construction,1,790,46.3,4.4,2.5,,,,,,1,790,46.3,4.4,2.5,jurisdiction_industry,June 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,June 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,June 2025,2025-10-21
Transportation,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,jurisdiction_industry,June 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,jurisdiction_industry,June 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,June 2025,2025-10-21
"Education, health, and social services",1,834,48.0,3.0,3.0,,,,,,1,834,48.0,3.0,3.0,jurisdiction_industry,June 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,June 2025,2025-10-21
Public administration,,,,,,,,,,,,,,,,jurisdiction_industry,June 2025,2025-10-21
All industries,4,45658,48.4,7.4,2.1,2,3336,54.0,4.0,3.4,2,42322,48.0,7.7,2.0,jurisdiction_industry,July 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,July 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,jurisdiction_industry,July 2025,2025-10-21
Construction,1,39730,48.0,8.0,1.9,,,,,,1,39730,48.0,8.0,1.9,jurisdiction_industry,July 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,jurisdiction_industry,July 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,July 2025,2025-10-21
Transportation,1,2592,47.4,3.0,3.0,,,,,,1,2592,47.4,3.0,3.0,jurisdiction_industry,July 2025,2025-10-21
Information and culture,1,2500,60.0,4.0,3.4,1,2500,60.0,4.0,3.4,,,,,,jurisdiction_industry,July 2025,2025-10-21
Finance and professional services,1,836,36.0,4.0,3.5,1,836,36.0,4.0,3.5,,,,,,jurisdiction_industry,July 2025,2025-10-21
"Education, health, and social services",,,,,,,,,,,,,,,,jurisdiction_industry,July 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,jurisdiction_industry,July 2025,2025-10-21
Public administration,,,,,,,,,,,,,,,,jurisdiction_industry,July 2025,2025-10-21
All industries,46,207945,47.3,2.1,1.9,13,30144,49.2,3.5,3.0,33,177801,46.9,1.8,1.7,jurisdiction_industry,Q32022,2025-10-21
Primary industries,1,1011,60.0,2.0,2.0,,,,,,1,1011,60.0,2.0,2.0,jurisdiction_industry,Q32022,2025-10-21
Utilities,2,1425,47.6,0.3,1.0,,,,,,2,1425,47.6,0.3,1.0,jurisdiction_industry,Q32022,2025-10-21
Construction,3,8120,34.5,10.8,6.0,,,,,,3,8120,34.5,10.8,6.0,jurisdiction_industry,Q32022,2025-10-21
Manufacturing,3,3650,60.0,11.8,4.8,,,,,,3,3650,60.0,11.8,4.8,jurisdiction_industry,Q32022,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,jurisdiction_industry,Q32022,2025-10-21
Transportation,8,19994,49.5,3.9,3.3,8,19994,49.5,3.9,3.3,,,,,,jurisdiction_industry,Q32022,2025-10-21
Information and culture,6,10870,47.6,2.4,2.2,4,9590,50.0,2.6,2.4,2,1280,30.0,0.8,0.8,jurisdiction_industry,Q32022,2025-10-21
Finance and professional services,4,18860,57.6,1.7,2.0,1,560,24.0,4.0,3.5,3,18300,58.6,1.6,2.0,jurisdiction_industry,Q32022,2025-10-21
"Education, health, and social services",13,95502,48.6,0.5,1.1,,,,,,13,95502,48.6,0.5,1.1,jurisdiction_industry,Q32022,2025-10-21
Entertainment and hospitality,1,800,48.0,8.6,4.4,,,,,,1,800,48.0,8.6,4.4,jurisdiction_industry,Q32022,2025-10-21
Public administration,5,47713,40.5,2.2,1.9,,,,,,5,47713,40.5,2.2,1.9,jurisdiction_industry,Q32022,2025-10-21
All industries,44,246342,39.3,3.9,3.6,6,9188,48.8,3.3,2.7,38,237154,39.0,3.9,3.6,jurisdiction_industry,Q42022,2025-10-21
Primary industries,,,,,,,,,,,,,,,,jurisdiction_industry,Q42022,2025-10-21
Utilities,1,780,35.9,1.0,2.3,,,,,,1,780,35.9,1.0,2.3,jurisdiction_industry,Q42022,2025-10-21
Construction,1,790,30.1,12.5,6.7,,,,,,1,790,30.1,12.5,6.7,jurisdiction_industry,Q42022,2025-10-21
Manufacturing,2,2560,43.9,6.5,4.2,,,,,,2,2560,43.9,6.5,4.2,jurisdiction_industry,Q42022,2025-10-21
Wholesale and retail trade,1,787,48.0,1.0,0.6,,,,,,1,787,48.0,1.0,0.6,jurisdiction_industry,Q42022,2025-10-21
Transportation,4,4088,51.5,3.2,2.8,4,4088,51.5,3.2,2.8,,,,,,jurisdiction_industry,Q42022,2025-10-21
Information and culture,1,600,36.0,2.0,2.0,1,600,36.0,2.0,2.0,,,,,,jurisdiction_industry,Q42022,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,jurisdiction_industry,Q42022,2025-10-21
