unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
2021,15,14707,51.2,4.5,2.3,15,14707,51.2,4.5,2.3,,,,,,sector_year,Manufacturing,2025-10-21
2022,8,12376,52.3,9.0,3.9,8,12376,52.3,9.0,3.9,,,,,,sector_year,Manufacturing,2025-10-21
2023,9,22886,37.3,8.9,4.9,9,22886,37.3,8.9,4.9,,,,,,sector_year,Manufacturing,2025-10-21
2024,7,8804,41.9,10.4,6.1,7,8804,41.9,10.4,6.1,,,,,,sector_year,Manufacturing,2025-10-21
2025,1,2400,72.0,4.0,3.2,1,2400,72.0,4.0,3.2,,,,,,sector_year,Manufacturing,2025-10-21
2016,9,24215,60.4,1.4,1.3,8,23420,60.4,1.4,1.3,1,795,60.0,0.5,1.5,sector_year,Wholesale and retail trade,2025-10-21
2017,7,14550,47.5,1.7,1.9,6,7560,47.0,1.9,2.0,1,6990,48.0,1.5,1.9,sector_year,Wholesale and retail trade,2025-10-21
2018,10,20373,52.8,0.9,1.4,8,18913,53.5,0.9,1.5,2,1460,42.7,0.1,0.3,sector_year,Wholesale and retail trade,2025-10-21
2019,11,25528,58.1,1.2,1.7,8,18450,54.0,1.1,1.8,3,7078,68.7,1.3,1.5,sector_year,Wholesale and retail trade,2025-10-21
2020,9,13811,75.5,0.9,1.0,8,13311,75.7,0.9,1.0,1,500,72.0,1.0,1.2,sector_year,Wholesale and retail trade,2025-10-21
2021,10,24770,55.8,1.5,1.4,9,23970,55.3,1.4,1.3,1,800,72.0,5.7,3.2,sector_year,Wholesale and retail trade,2025-10-21
2022,3,10577,43.5,7.9,3.1,1,2800,61.0,0.0,0.3,2,7777,37.2,10.8,4.1,sector_year,Wholesale and retail trade,2025-10-21
2023,4,13379,57.5,8.9,4.0,3,11979,60.0,9.8,4.0,1,1400,36.0,2.0,4.0,sector_year,Wholesale and retail trade,2025-10-21
2024,1,10229,36.0,3.0,2.6,,,,,,1,10229,36.0,3.0,2.6,sector_year,Wholesale and retail trade,2025-10-21
2025,2,5825,70.2,6.1,3.4,1,878,60.0,6.7,3.9,1,4947,72.0,6.0,3.3,sector_year,Wholesale and retail trade,2025-10-21
2016,18,85950,42.0,1.0,1.4,9,15850,91.4,1.0,1.6,9,70100,30.8,1.0,1.3,sector_year,Transportation,2025-10-21
2017,19,28362,46.8,1.8,2.1,13,21660,49.0,1.8,2.2,6,6702,39.8,1.5,1.8,sector_year,Transportation,2025-10-21
2018,16,28882,44.0,2.0,2.2,8,10100,44.3,2.5,2.4,8,18782,43.9,1.8,2.1,sector_year,Transportation,2025-10-21
2019,20,41980,54.4,2.2,2.4,12,22540,52.8,2.4,2.7,8,19440,56.2,1.9,2.1,sector_year,Transportation,2025-10-21
2020,22,98811,51.5,2.1,2.3,12,27233,55.0,2.7,2.6,10,71578,50.1,1.8,2.2,sector_year,Transportation,2025-10-21
2021,14,57058,40.6,2.1,2.5,9,9853,46.1,2.7,2.1,5,47205,39.5,2.0,2.6,sector_year,Transportation,2025-10-21
2022,17,42278,42.0,3.3,2.9,10,22728,50.3,3.7,3.2,7,19550,32.3,2.8,2.6,sector_year,Transportation,2025-10-21
2023,24,44872,38.1,4.9,3.9,15,32557,34.7,5.9,4.4,9,12315,47.1,2.4,2.3,sector_year,Transportation,2025-10-21
2024,11,24201,41.5,5.0,4.0,9,12049,47.2,5.3,3.7,2,12152,36.0,4.8,4.3,sector_year,Transportation,2025-10-21
2025,7,11782,43.0,4.2,3.6,5,5790,45.2,5.4,4.1,2,5992,40.9,3.0,3.1,sector_year,Transportation,2025-10-21
2016,5,14578,56.0,0.7,1.2,3,8528,67.0,0.2,1.1,2,6050,40.5,1.6,1.4,sector_year,Information and culture,2025-10-21
2017,6,8936,47.3,1.6,1.8,4,7536,47.2,1.5,1.8,2,1400,48.0,1.7,1.8,sector_year,Information and culture,2025-10-21
2018,8,25890,45.5,2.6,2.4,7,24240,43.6,2.3,2.5,1,1650,73.0,5.7,2.1,sector_year,Information and culture,2025-10-21
2019,6,10782,53.8,1.2,1.3,3,2432,39.7,2.3,1.9,3,8350,57.9,0.8,1.1,sector_year,Information and culture,2025-10-21
2020,2,3450,43.9,1.2,1.3,1,1200,36.1,1.5,1.5,1,2250,48.0,1.0,1.1,sector_year,Information and culture,2025-10-21
2021,5,8228,57.5,1.7,1.9,4,7410,59.8,1.7,1.9,1,818,36.0,2.0,2.0,sector_year,Information and culture,2025-10-21
2022,9,15770,47.8,2.6,2.4,5,10990,49.1,3.1,2.8,4,4780,44.7,1.3,1.5,sector_year,Information and culture,2025-10-21
2023,4,10961,57.3,1.6,2.5,4,10961,57.3,1.6,2.5,,,,,,sector_year,Information and culture,2025-10-21
2024,6,8605,40.7,3.2,2.0,4,3320,45.8,3.4,2.5,2,5285,37.6,3.1,1.7,sector_year,Information and culture,2025-10-21
2025,1,2500,60.0,4.0,3.4,1,2500,60.0,4.0,3.4,,,,,,sector_year,Information and culture,2025-10-21
2016,8,5980,41.7,1.9,1.7,3,1820,33.8,1.6,1.4,5,4160,45.2,2.0,1.8,sector_year,Finance and professional services,2025-10-21
2017,11,20770,53.3,2.0,2.2,8,18420,54.7,2.1,2.3,3,2350,42.8,1.3,1.4,sector_year,Finance and professional services,2025-10-21
2018,17,44852,47.9,2.7,2.1,15,42652,48.1,2.8,2.1,2,2200,44.4,1.5,1.7,sector_year,Finance and professional services,2025-10-21
2019,6,5820,47.1,2.1,1.8,2,1880,48.0,0.5,1.2,4,3940,46.7,2.9,2.0,sector_year,Finance and professional services,2025-10-21
2020,9,25148,45.8,1.3,1.6,7,18938,47.1,1.3,1.4,2,6210,42.0,1.5,2.2,sector_year,Finance and professional services,2025-10-21
2021,6,7582,43.2,0.5,2.1,6,7582,43.2,0.5,2.1,,,,,,sector_year,Finance and professional services,2025-10-21
2022,9,23855,53.6,1.8,2.1,5,20335,55.5,1.8,2.2,4,3520,42.6,1.3,1.5,sector_year,Finance and professional services,2025-10-21
2023,4,3619,45.8,7.0,4.3,4,3619,45.8,7.0,4.3,,,,,,sector_year,Finance and professional services,2025-10-21
2024,7,24715,35.1,3.4,3.7,6,23695,34.6,3.3,3.7,1,1020,48.0,4.8,3.1,sector_year,Finance and professional services,2025-10-21
2025,2,2386,36.0,4.2,4.2,1,1550,36.0,4.2,4.6,1,836,36.0,4.0,3.5,sector_year,Finance and professional services,2025-10-21
2016,98,697660,49.7,0.5,1.2,9,23100,33.1,0.6,0.7,89,674560,50.2,0.5,1.3,sector_year,"Education, health, and social services",2025-10-21
2017,80,398216,30.5,1.5,1.7,2,8770,24.0,2.0,2.1,78,389446,30.6,1.5,1.7,sector_year,"Education, health, and social services",2025-10-21
2018,77,330519,39.0,0.8,1.0,5,5860,41.6,1.3,1.3,72,324659,39.0,0.8,1.0,sector_year,"Education, health, and social services",2025-10-21
2019,90,294965,38.3,1.3,1.6,3,3230,32.9,0.8,1.0,87,291735,38.4,1.3,1.6,sector_year,"Education, health, and social services",2025-10-21
