unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
July 2025,,,,,,,,,,,,,,,,sector_month,Manufacturing,2025-10-21
August 2024,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
September 2024,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
October 2024,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
November 2024,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
December 2024,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
January 2025,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,sector_month,Wholesale and retail trade,2025-10-21
February 2025,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
March 2025,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
April 2025,1,878,60.0,6.7,3.9,1,878,60.0,6.7,3.9,,,,,,sector_month,Wholesale and retail trade,2025-10-21
May 2025,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
June 2025,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
July 2025,,,,,,,,,,,,,,,,sector_month,Wholesale and retail trade,2025-10-21
August 2024,1,652,36.0,4.0,3.3,,,,,,1,652,36.0,4.0,3.3,sector_month,Transportation,2025-10-21
September 2024,1,550,48.0,5.0,4.2,1,550,48.0,5.0,4.2,,,,,,sector_month,Transportation,2025-10-21
October 2024,1,600,24.0,3.2,3.1,1,600,24.0,3.2,3.1,,,,,,sector_month,Transportation,2025-10-21
November 2024,,,,,,,,,,,,,,,,sector_month,Transportation,2025-10-21
December 2024,3,4394,48.0,4.0,3.1,3,4394,48.0,4.0,3.1,,,,,,sector_month,Transportation,2025-10-21
January 2025,,,,,,,,,,,,,,,,sector_month,Transportation,2025-10-21
February 2025,4,5057,44.9,5.5,4.0,4,5057,44.9,5.5,4.0,,,,,,sector_month,Transportation,2025-10-21
March 2025,1,3400,36.0,3.0,3.2,,,,,,1,3400,36.0,3.0,3.2,sector_month,Transportation,2025-10-21
April 2025,,,,,,,,,,,,,,,,sector_month,Transportation,2025-10-21
May 2025,,,,,,,,,,,,,,,,sector_month,Transportation,2025-10-21
June 2025,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,sector_month,Transportation,2025-10-21
July 2025,1,2592,47.4,3.0,3.0,,,,,,1,2592,47.4,3.0,3.0,sector_month,Transportation,2025-10-21
August 2024,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
September 2024,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
October 2024,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
November 2024,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
December 2024,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
January 2025,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
February 2025,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
March 2025,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
April 2025,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
May 2025,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
June 2025,,,,,,,,,,,,,,,,sector_month,Information and culture,2025-10-21
July 2025,1,2500,60.0,4.0,3.4,1,2500,60.0,4.0,3.4,,,,,,sector_month,Information and culture,2025-10-21
August 2024,1,2240,36.0,7.7,2.5,1,2240,36.0,7.7,2.5,,,,,,sector_month,Finance and professional services,2025-10-21
September 2024,2,5750,30.1,3.2,2.9,2,5750,30.1,3.2,2.9,,,,,,sector_month,Finance and professional services,2025-10-21
