unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Q2 2025,8,123854,48.0,7.2,5.0,8,123854,48.0,7.2,5.0,,,,,,sector_quarter,Construction,2025-10-21
Q3 2022,3,3650,60.0,11.8,4.8,3,3650,60.0,11.8,4.8,,,,,,sector_quarter,Manufacturing,2025-10-21
Q4 2022,2,2560,43.9,6.5,4.2,2,2560,43.9,6.5,4.2,,,,,,sector_quarter,Manufacturing,2025-10-21
Q1 2023,1,596,36.0,3.9,3.0,1,596,36.0,3.9,3.0,,,,,,sector_quarter,Manufacturing,2025-10-21
Q2 2023,2,1800,42.9,4.1,3.7,2,1800,42.9,4.1,3.7,,,,,,sector_quarter,Manufacturing,2025-10-21
Q3 2023,3,7490,37.7,9.0,4.9,3,7490,37.7,9.0,4.9,,,,,,sector_quarter,Manufacturing,2025-10-21
Q4 2023,3,13000,36.4,9.8,5.2,3,13000,36.4,9.8,5.2,,,,,,sector_quarter,Manufacturing,2025-10-21
Q1 2024,1,1303,36.0,7.8,4.6,1,1303,36.0,7.8,4.6,,,,,,sector_quarter,Manufacturing,2025-10-21
Q2 2024,3,2540,51.8,8.2,4.3,3,2540,51.8,8.2,4.3,,,,,,sector_quarter,Manufacturing,2025-10-21
Q3 2024,2,3561,29.8,13.8,8.5,2,3561,29.8,13.8,8.5,,,,,,sector_quarter,Manufacturing,2025-10-21
Q4 2024,1,1400,60.0,8.0,4.5,1,1400,60.0,8.0,4.5,,,,,,sector_quarter,Manufacturing,2025-10-21
Q1 2025,1,2400,72.0,4.0,3.2,1,2400,72.0,4.0,3.2,,,,,,sector_quarter,Manufacturing,2025-10-21
Q2 2025,,,,,,,,,,,,,,,,sector_quarter,Manufacturing,2025-10-21
Q3 2022,,,,,,,,,,,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q4 2022,1,787,48.0,1.0,0.6,,,,,,1,787,48.0,1.0,0.6,sector_quarter,Wholesale and retail trade,2025-10-21
Q1 2023,,,,,,,,,,,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q2 2023,,,,,,,,,,,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q3 2023,1,1400,36.0,2.0,4.0,,,,,,1,1400,36.0,2.0,4.0,sector_quarter,Wholesale and retail trade,2025-10-21
Q4 2023,3,11979,60.0,9.8,4.0,3,11979,60.0,9.8,4.0,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q1 2024,,,,,,,,,,,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q2 2024,,,,,,,,,,,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q3 2024,1,10229,36.0,3.0,2.6,,,,,,1,10229,36.0,3.0,2.6,sector_quarter,Wholesale and retail trade,2025-10-21
Q4 2024,,,,,,,,,,,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q1 2025,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,sector_quarter,Wholesale and retail trade,2025-10-21
Q2 2025,1,878,60.0,6.7,3.9,1,878,60.0,6.7,3.9,,,,,,sector_quarter,Wholesale and retail trade,2025-10-21
Q3 2022,8,19994,49.5,3.9,3.3,5,17889,51.1,3.7,3.2,3,2105,36.0,5.5,3.8,sector_quarter,Transportation,2025-10-21
Q4 2022,4,4088,51.5,3.2,2.8,4,4088,51.5,3.2,2.8,,,,,,sector_quarter,Transportation,2025-10-21
Q1 2023,3,4553,34.5,1.4,1.8,2,1837,31.7,3.6,3.0,1,2716,36.4,0.0,1.0,sector_quarter,Transportation,2025-10-21
Q2 2023,10,19783,28.7,6.6,4.1,7,17431,27.0,6.9,4.2,3,2352,41.7,4.5,3.3,sector_quarter,Transportation,2025-10-21
Q3 2023,7,16358,43.9,4.5,4.3,5,12608,44.5,4.8,5.0,2,3750,42.0,3.3,2.1,sector_quarter,Transportation,2025-10-21
Q4 2023,4,4178,63.8,2.4,3.1,1,681,60.0,5.0,4.0,3,3497,64.5,1.9,3.0,sector_quarter,Transportation,2025-10-21
Q1 2024,1,2100,60.0,8.2,5.4,1,2100,60.0,8.2,5.4,,,,,,sector_quarter,Transportation,2025-10-21
Q2 2024,3,15250,37.1,4.4,4.0,2,3750,40.5,3.1,3.1,1,11500,36.0,4.8,4.3,sector_quarter,Transportation,2025-10-21
Q3 2024,3,1857,47.7,9.7,4.3,2,1205,54.0,12.7,4.8,1,652,36.0,4.0,3.3,sector_quarter,Transportation,2025-10-21
Q4 2024,4,4994,45.1,3.9,3.1,4,4994,45.1,3.9,3.1,,,,,,sector_quarter,Transportation,2025-10-21
Q1 2025,5,8457,41.3,4.5,3.7,4,5057,44.9,5.5,4.0,1,3400,36.0,3.0,3.2,sector_quarter,Transportation,2025-10-21
Q2 2025,1,733,48.0,5.0,4.5,1,733,48.0,5.0,4.5,,,,,,sector_quarter,Transportation,2025-10-21
Q3 2022,6,10870,47.6,2.4,2.2,3,6690,50.8,3.1,2.6,3,4180,42.5,1.3,1.5,sector_quarter,Information and culture,2025-10-21
Q4 2022,1,600,36.0,2.0,2.0,1,600,36.0,2.0,2.0,,,,,,sector_quarter,Information and culture,2025-10-21
Q1 2023,1,6918,63.0,0.0,2.2,1,6918,63.0,0.0,2.2,,,,,,sector_quarter,Information and culture,2025-10-21
Q2 2023,1,2160,48.1,3.2,3.2,1,2160,48.1,3.2,3.2,,,,,,sector_quarter,Information and culture,2025-10-21
Q3 2023,2,1883,46.8,5.5,2.6,2,1883,46.8,5.5,2.6,,,,,,sector_quarter,Information and culture,2025-10-21
Q4 2023,,,,,,,,,,,,,,,,sector_quarter,Information and culture,2025-10-21
Q1 2024,3,6400,39.1,3.3,1.8,2,1800,47.2,2.9,2.2,1,4600,36.0,3.5,1.7,sector_quarter,Information and culture,2025-10-21
Q2 2024,3,2205,45.4,2.8,2.4,2,1520,44.1,4.0,2.9,1,685,48.3,0.0,1.5,sector_quarter,Information and culture,2025-10-21
Q3 2024,,,,,,,,,,,,,,,,sector_quarter,Information and culture,2025-10-21
Q4 2024,,,,,,,,,,,,,,,,sector_quarter,Information and culture,2025-10-21
Q1 2025,,,,,,,,,,,,,,,,sector_quarter,Information and culture,2025-10-21
Q2 2025,,,,,,,,,,,,,,,,sector_quarter,Information and culture,2025-10-21
Q3 2022,4,18860,57.6,1.7,2.0,1,16000,60.0,1.8,2.2,3,2860,44.1,0.8,1.1,sector_quarter,Finance and professional services,2025-10-21
Q4 2022,,,,,,,,,,,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q1 2023,1,635,36.0,4.5,4.2,1,635,36.0,4.5,4.2,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q2 2023,3,2984,47.8,7.5,4.4,3,2984,47.8,7.5,4.4,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q3 2023,,,,,,,,,,,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q4 2023,,,,,,,,,,,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q1 2024,1,900,12.0,0.0,0.0,1,900,12.0,0.0,0.0,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q2 2024,1,8510,12.0,5.0,5.0,1,8510,12.0,5.0,5.0,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q3 2024,3,7990,31.8,4.5,2.8,3,7990,31.8,4.5,2.8,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q4 2024,2,7315,68.6,0.7,3.5,1,6295,72.0,0.0,3.6,1,1020,48.0,4.8,3.1,sector_quarter,Finance and professional services,2025-10-21
Q1 2025,,,,,,,,,,,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q2 2025,1,1550,36.0,4.2,4.6,1,1550,36.0,4.2,4.6,,,,,,sector_quarter,Finance and professional services,2025-10-21
Q3 2022,13,95502,48.6,0.5,1.1,,,,,,13,95502,48.6,0.5,1.1,sector_quarter,"Education, health, and social services",2025-10-21
Q4 2022,21,197159,38.2,4.1,3.8,1,7370,48.0,4.1,3.9,20,189789,37.8,4.1,3.8,sector_quarter,"Education, health, and social services",2025-10-21
Q1 2023,12,22421,45.3,3.9,3.6,,,,,,12,22421,45.3,3.9,3.6,sector_quarter,"Education, health, and social services",2025-10-21
Q2 2023,20,81194,37.4,1.7,2.2,,,,,,20,81194,37.4,1.7,2.2,sector_quarter,"Education, health, and social services",2025-10-21
Q3 2023,16,101311,33.6,6.2,4.6,2,1135,34.2,0.0,0.6,14,100176,33.6,6.3,4.7,sector_quarter,"Education, health, and social services",2025-10-21
Q4 2023,13,110141,50.6,2.8,2.6,3,9836,70.1,1.4,1.6,10,100305,48.7,3.0,2.7,sector_quarter,"Education, health, and social services",2025-10-21
Q1 2024,19,144591,46.4,2.8,2.5,2,11871,43.5,0.6,1.3,17,132720,46.6,3.0,2.6,sector_quarter,"Education, health, and social services",2025-10-21
Q2 2024,37,586903,55.8,5.5,3.5,,,,,,37,586903,55.8,5.5,3.5,sector_quarter,"Education, health, and social services",2025-10-21
Q3 2024,10,35326,41.8,2.8,3.0,,,,,,10,35326,41.8,2.8,3.0,sector_quarter,"Education, health, and social services",2025-10-21
