unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
Entertainment and hospitality,1,561,24.0,10.0,6.9,1,561,24.0,10.0,6.9,,,,,,cola_industry,December 2024,2025-10-21
Public administration,4,12558,35.3,4.5,3.8,4,12558,35.3,4.5,3.8,,,,,,cola_industry,December 2024,2025-10-21
All industries,7,13702,57.6,5.3,3.3,7,13702,57.6,5.3,3.3,,,,,,cola_industry,January 2025,2025-10-21
Primary industries,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,cola_industry,January 2025,2025-10-21
Utilities,1,980,36.0,2.8,3.5,1,980,36.0,2.8,3.5,,,,,,cola_industry,January 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,cola_industry,January 2025,2025-10-21
Manufacturing,1,2400,72.0,4.0,3.2,1,2400,72.0,4.0,3.2,,,,,,cola_industry,January 2025,2025-10-21
Wholesale and retail trade,1,4947,72.0,6.0,3.3,1,4947,72.0,6.0,3.3,,,,,,cola_industry,January 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,cola_industry,January 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,cola_industry,January 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,cola_industry,January 2025,2025-10-21
"Education, health, and social services",1,587,36.0,3.0,3.0,1,587,36.0,3.0,3.0,,,,,,cola_industry,January 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,cola_industry,January 2025,2025-10-21
Public administration,2,4252,43.6,6.5,3.4,2,4252,43.6,6.5,3.4,,,,,,cola_industry,January 2025,2025-10-21
All industries,8,15157,45.3,4.7,3.6,8,15157,45.3,4.7,3.6,,,,,,cola_industry,February 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
Transportation,4,5057,44.9,5.5,4.0,4,5057,44.9,5.5,4.0,,,,,,cola_industry,February 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
"Education, health, and social services",3,2430,37.9,2.7,2.6,3,2430,37.9,2.7,2.6,,,,,,cola_industry,February 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,cola_industry,February 2025,2025-10-21
Public administration,1,7670,48.0,4.7,3.7,1,7670,48.0,4.7,3.7,,,,,,cola_industry,February 2025,2025-10-21
All industries,6,22135,47.7,3.1,3.3,6,22135,47.7,3.1,3.3,,,,,,cola_industry,March 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
Transportation,1,3400,36.0,3.0,3.2,1,3400,36.0,3.0,3.2,,,,,,cola_industry,March 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
"Education, health, and social services",4,10495,51.2,2.6,3.0,4,10495,51.2,2.6,3.0,,,,,,cola_industry,March 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,cola_industry,March 2025,2025-10-21
Public administration,1,8240,48.0,3.9,3.7,1,8240,48.0,3.9,3.7,,,,,,cola_industry,March 2025,2025-10-21
All industries,13,172748,46.9,6.3,4.6,13,172748,46.9,6.3,4.6,,,,,,cola_industry,April 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,cola_industry,April 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,cola_industry,April 2025,2025-10-21
Construction,4,113531,48.0,7.6,5.3,4,113531,48.0,7.6,5.3,,,,,,cola_industry,April 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,cola_industry,April 2025,2025-10-21
Wholesale and retail trade,1,878,60.0,6.7,3.9,1,878,60.0,6.7,3.9,,,,,,cola_industry,April 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,cola_industry,April 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,cola_industry,April 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,cola_industry,April 2025,2025-10-21
