Month,Sector,COLA_Status,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
August 2024,All sectors,Total,5.0,21192.0,45.1,3.2,3.0,2025-10-21
August 2024,All sectors,Without COLA,5.0,21192.0,45.1,3.2,3.0,2025-10-21
September 2024,All sectors,Total,5.0,14010.0,31.8,5.7,4.4,2025-10-21
September 2024,All sectors,Without COLA,4.0,11300.0,33.6,3.4,3.0,2025-10-21
September 2024,All sectors,With COLA,1.0,2710.0,24.1,15.3,9.9,2025-10-21
October 2024,All sectors,Total,8.0,45176.0,45.7,3.4,3.7,2025-10-21
October 2024,All sectors,Without COLA,8.0,45176.0,45.7,3.4,3.7,2025-10-21
November 2024,All sectors,Total,6.0,6894.0,38.1,3.7,3.4,2025-10-21
November 2024,All sectors,Without COLA,6.0,6894.0,38.1,3.7,3.4,2025-10-21
December 2024,All sectors,Total,15.0,125802.0,52.7,5.3,3.7,2025-10-21
December 2024,All sectors,Without COLA,14.0,44129.0,39.1,4.1,3.8,2025-10-21
December 2024,All sectors,With COLA,1.0,81673.0,60.0,6.0,3.6,2025-10-21
January 2025,All sectors,Total,7.0,13702.0,57.6,5.3,3.3,2025-10-21
January 2025,All sectors,Without COLA,7.0,13702.0,57.6,5.3,3.3,2025-10-21
February 2025,All sectors,Total,8.0,15157.0,45.3,4.7,3.6,2025-10-21
February 2025,All sectors,Without COLA,8.0,15157.0,45.3,4.7,3.6,2025-10-21
March 2025,All sectors,Total,6.0,22135.0,47.7,3.1,3.3,2025-10-21
March 2025,All sectors,Without COLA,6.0,22135.0,47.7,3.1,3.3,2025-10-21
April 2025,All sectors,Total,13.0,172748.0,46.9,6.3,4.6,2025-10-21
April 2025,All sectors,Without COLA,13.0,172748.0,46.9,6.3,4.6,2025-10-21
May 2025,All sectors,Total,9.0,25184.0,45.1,3.1,3.0,2025-10-21
May 2025,All sectors,Without COLA,9.0,25184.0,45.1,3.1,3.0,2025-10-21
June 2025,All sectors,Total,4.0,4657.0,53.6,3.6,3.4,2025-10-21
June 2025,All sectors,Without COLA,4.0,4657.0,53.6,3.6,3.4,2025-10-21
July 2025,All sectors,Total,4.0,45658.0,48.4,7.4,2.1,2025-10-21
July 2025,All sectors,Without COLA,4.0,45658.0,48.4,7.4,2.1,2025-10-21
August 2024,Private sector,Total,2.0,2990.0,36.0,7.0,2.8,2025-10-21
August 2024,Private sector,Without COLA,2.0,2990.0,36.0,7.0,2.8,2025-10-21
September 2024,Private sector,Total,4.0,9010.0,29.4,6.9,5.1,2025-10-21
September 2024,Private sector,Without COLA,3.0,6300.0,31.7,3.4,3.1,2025-10-21
September 2024,Private sector,With COLA,1.0,2710.0,24.1,15.3,9.9,2025-10-21
October 2024,Private sector,Total,2.0,7296.0,46.0,3.5,3.1,2025-10-21
October 2024,Private sector,Without COLA,2.0,7296.0,46.0,3.5,3.1,2025-10-21
December 2024,Private sector,Total,7.0,13801.0,57.2,2.8,3.7,2025-10-21
December 2024,Private sector,Without COLA,7.0,13801.0,57.2,2.8,3.7,2025-10-21
January 2025,Private sector,Total,3.0,3916.0,58.0,3.6,3.2,2025-10-21
January 2025,Private sector,Without COLA,3.0,3916.0,58.0,3.6,3.2,2025-10-21
February 2025,Private sector,Total,4.0,5057.0,44.9,5.5,4.0,2025-10-21
February 2025,Private sector,Without COLA,4.0,5057.0,44.9,5.5,4.0,2025-10-21
March 2025,Private sector,Total,1.0,1404.0,72.0,0.0,1.8,2025-10-21
March 2025,Private sector,Without COLA,1.0,1404.0,72.0,0.0,1.8,2025-10-21
April 2025,Private sector,Total,6.0,116015.0,47.8,7.7,5.3,2025-10-21
April 2025,Private sector,Without COLA,6.0,116015.0,47.8,7.7,5.3,2025-10-21
May 2025,Private sector,Total,4.0,11083.0,46.3,2.9,2.8,2025-10-21
May 2025,Private sector,Without COLA,4.0,11083.0,46.3,2.9,2.8,2025-10-21
June 2025,Private sector,Total,2.0,1523.0,47.1,4.7,3.5,2025-10-21
June 2025,Private sector,Without COLA,2.0,1523.0,47.1,4.7,3.5,2025-10-21
July 2025,Private sector,Total,2.0,42230.0,48.7,7.8,2.0,2025-10-21
July 2025,Private sector,Without COLA,2.0,42230.0,48.7,7.8,2.0,2025-10-21
August 2024,Public sector,Total,3.0,18202.0,46.5,2.6,3.1,2025-10-21
August 2024,Public sector,Without COLA,3.0,18202.0,46.5,2.6,3.1,2025-10-21
September 2024,Public sector,Total,1.0,5000.0,36.0,3.5,3.0,2025-10-21
September 2024,Public sector,Without COLA,1.0,5000.0,36.0,3.5,3.0,2025-10-21
October 2024,Public sector,Total,6.0,37880.0,45.6,3.4,3.8,2025-10-21
October 2024,Public sector,Without COLA,6.0,37880.0,45.6,3.4,3.8,2025-10-21
November 2024,Public sector,Total,6.0,6894.0,38.1,3.7,3.4,2025-10-21
November 2024,Public sector,Without COLA,6.0,6894.0,38.1,3.7,3.4,2025-10-21
December 2024,Public sector,Total,8.0,112001.0,52.1,5.7,3.7,2025-10-21
December 2024,Public sector,Without COLA,7.0,30328.0,30.8,4.7,3.9,2025-10-21
December 2024,Public sector,With COLA,1.0,81673.0,60.0,6.0,3.6,2025-10-21
January 2025,Public sector,Total,4.0,9786.0,57.5,6.1,3.3,2025-10-21
January 2025,Public sector,Without COLA,4.0,9786.0,57.5,6.1,3.3,2025-10-21
February 2025,Public sector,Total,4.0,10100.0,45.6,4.3,3.4,2025-10-21
February 2025,Public sector,Without COLA,4.0,10100.0,45.6,4.3,3.4,2025-10-21
March 2025,Public sector,Total,5.0,20731.0,46.0,3.4,3.4,2025-10-21
March 2025,Public sector,Without COLA,5.0,20731.0,46.0,3.4,3.4,2025-10-21
April 2025,Public sector,Total,7.0,56733.0,45.3,3.4,3.1,2025-10-21
April 2025,Public sector,Without COLA,7.0,56733.0,45.3,3.4,3.1,2025-10-21
May 2025,Public sector,Total,5.0,14101.0,44.2,3.2,3.1,2025-10-21
May 2025,Public sector,Without COLA,5.0,14101.0,44.2,3.2,3.1,2025-10-21
June 2025,Public sector,Total,2.0,3134.0,56.8,3.0,3.4,2025-10-21
June 2025,Public sector,Without COLA,2.0,3134.0,56.8,3.0,3.4,2025-10-21
July 2025,Public sector,Total,2.0,3428.0,44.6,3.2,3.2,2025-10-21
July 2025,Public sector,Without COLA,2.0,3428.0,44.6,3.2,3.2,2025-10-21
