unnamed:_0_level_0,all_sectors,all_sectors.1,all_sectors.2,all_sectors.3,all_sectors.4,private_sector,private_sector.1,private_sector.2,private_sector.3,private_sector.4,public_sector,public_sector.1,public_sector.2,public_sector.3,public_sector.4,page_source,section,extraction_date
Unnamed: 0_level_1,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),,,
"Education, health, and social services",4,99443,54.2,5.8,3.6,,,,,,4,99443,54.2,5.8,3.6,sector_industry,December 2024,2025-10-21
Entertainment and hospitality,1,561,24.0,10.0,6.9,1,561,24.0,10.0,6.9,,,,,,sector_industry,December 2024,2025-10-21
Public administration,4,12558,35.3,4.5,3.8,,,,,,4,12558,35.3,4.5,3.8,sector_industry,December 2024,2025-10-21
All industries,7,13702,57.6,5.3,3.3,3,3916,58.0,3.6,3.2,4,9786,57.5,6.1,3.3,sector_industry,January 2025,2025-10-21
Primary industries,1,536,36.0,3.0,3.0,1,536,36.0,3.0,3.0,,,,,,sector_industry,January 2025,2025-10-21
Utilities,1,980,36.0,2.8,3.5,1,980,36.0,2.8,3.5,,,,,,sector_industry,January 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,sector_industry,January 2025,2025-10-21
Manufacturing,1,2400,72.0,4.0,3.2,1,2400,72.0,4.0,3.2,,,,,,sector_industry,January 2025,2025-10-21
Wholesale and retail trade,1,4947,72.0,6.0,3.3,,,,,,1,4947,72.0,6.0,3.3,sector_industry,January 2025,2025-10-21
Transportation,,,,,,,,,,,,,,,,sector_industry,January 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,January 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,January 2025,2025-10-21
"Education, health, and social services",1,587,36.0,3.0,3.0,,,,,,1,587,36.0,3.0,3.0,sector_industry,January 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,January 2025,2025-10-21
Public administration,2,4252,43.6,6.5,3.4,,,,,,2,4252,43.6,6.5,3.4,sector_industry,January 2025,2025-10-21
All industries,8,15157,45.3,4.7,3.6,4,5057,44.9,5.5,4.0,4,10100,45.6,4.3,3.4,sector_industry,February 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
Transportation,4,5057,44.9,5.5,4.0,4,5057,44.9,5.5,4.0,,,,,,sector_industry,February 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
"Education, health, and social services",3,2430,37.9,2.7,2.6,,,,,,3,2430,37.9,2.7,2.6,sector_industry,February 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,February 2025,2025-10-21
Public administration,1,7670,48.0,4.7,3.7,,,,,,1,7670,48.0,4.7,3.7,sector_industry,February 2025,2025-10-21
All industries,6,22135,47.7,3.1,3.3,1,1404,72.0,0.0,1.8,5,20731,46.0,3.4,3.4,sector_industry,March 2025,2025-10-21
Primary industries,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
Utilities,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
Construction,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
Manufacturing,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
Wholesale and retail trade,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
Transportation,1,3400,36.0,3.0,3.2,,,,,,1,3400,36.0,3.0,3.2,sector_industry,March 2025,2025-10-21
Information and culture,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
Finance and professional services,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
"Education, health, and social services",4,10495,51.2,2.6,3.0,1,1404,72.0,0.0,1.8,3,9091,48.0,2.9,3.2,sector_industry,March 2025,2025-10-21
Entertainment and hospitality,,,,,,,,,,,,,,,,sector_industry,March 2025,2025-10-21
